場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(G00001)冬山鄉東興段777地號-宜蘭縣興佳股份公司污染,工廠,宜蘭縣冬山鄉大興村德興十一路11號旁,宜蘭縣冬山鄉東興段777地號,"1,800平方公尺",公告解除控制場址,鎘:39.2(mg/Kg);鉻:29900(mg/Kg);鎳:9860(mg/Kg);銅:3260(mg/Kg),-無資料-,121.81419160904,24.635680483959
(G10033)三星鄉紅柴林段紅柴林小段1479-1及1479-3地號,農地,,三星鄉紅柴林段紅柴林小段1479-1及1479-3地號,"3,157平方公尺",公告解除控制場址,銅:2350(mg/Kg);鋅:3110(mg/Kg),-無資料-,121.64128449874,24.685388153466
(G10034)蘇澳鎮永春段324地號,農地,蘇澳鎮永春段324地號,蘇澳鎮永春段324地號,812平方公尺,公告解除控制場址,汞:75(mg/Kg),-無資料-,121.83916212109,24.585472718142
(G10035)蘇澳鎮永春段378地號,農地,,蘇澳鎮永春段378地號,"1,418平方公尺",公告解除控制場址,汞:37.2(mg/Kg),-無資料-,121.83850237735,24.585738212177
(G10036)冬山鄉安平段407地號,農地,,冬山鄉安平段407地號,"6,250平方公尺",公告解除控制場址,鋅:1650(mg/Kg),-無資料-,121.77868737443,24.625287392361
(G10037)冬山鄉安平段441地號,農地,,冬山鄉安平段441地號,161平方公尺,公告解除控制場址,鎳:242(mg/Kg);鉻:365(mg/Kg);銅:594(mg/Kg),-無資料-,121.77374905828,24.62688379962
(G10051)宜蘭市凱旋段1049地號(上德加油站)地下水污染改善案,加油站,宜蘭縣宜蘭市中山里中山路一段三四○號一樓,凱旋段1049地號,943平方公尺,公告解除控制場址,-無資料-,苯:0.176(mg/L);萘:0.494(mg/L);總石油碳氫化合物:18.7(mg/L);甲基第三丁基醚:1(mg/L),121.76563829714,24.730109086215
(G10122)蘇澳鎮南正段31-1地號,其他,宜蘭縣蘇澳鎮南正段31-1地號,蘇澳鎮南正段31-1地號,"1,108平方公尺",公告解除控制場址,總石油碳氫化合物:41100(mg/Kg);二甲苯:12300(mg/Kg),總石油碳氫化合物:28.6(mg/L);二甲苯:173(mg/L),121.85653495953,24.596470580534
(G10166)五結鄉五結段970地號(東寶加油站),加油站,宜蘭縣五結鄉光榮北路八號,宜蘭縣五結鄉五結段970地號,373平方公尺,公告解除控制場址,-無資料-,苯:0.147(mg/L),121.77806226917,24.682195713294
(G10234)冬山鄉東興段804地號土壤污染案,工廠,宜蘭縣冬山鄉龍祥十路九號,冬山鄉東興段804地號,"15,708平方公尺",公告解除控制場址,鉻:628(mg/Kg),-無資料-,121.81217140067,24.628757728168
(G10369)南方澳造船路空地,工廠,,宜蘭縣蘇澳鎮南安段二地號;宜蘭縣蘇澳鎮南安段二之一地號;宜蘭縣蘇澳鎮南安段二之二地號;宜蘭縣蘇澳鎮南安段二之六地號;宜蘭縣蘇澳鎮南安段二之七地號;宜蘭縣蘇澳鎮南安段三地號;宜蘭縣蘇澳鎮南安段三之一地號;宜蘭縣蘇澳鎮南安段三之二地號;宜蘭縣蘇澳鎮南安段三之三地號;宜蘭縣蘇澳鎮南安段三之四地號;宜蘭縣蘇澳鎮南安段三之五地號;宜蘭縣蘇澳鎮南安段三之六地號;宜蘭縣蘇澳鎮南安段三之七地號;宜蘭縣蘇澳鎮南安段四地號;宜蘭縣蘇澳鎮南安段四之一地號;宜蘭縣蘇澳鎮南安段四之二地號;宜蘭縣蘇澳鎮南安段四之三地號;宜蘭縣蘇澳鎮南安段四之一○地號;宜蘭縣蘇澳鎮南安段四之一一地號,"11,856平方公尺",公告為控制場址,銅:2240(mg/Kg);鋅:4580(mg/Kg);總石油碳氫化合物:32100(mg/Kg),-無資料-,121.87067639323,24.538130368009
(G10691)臺灣湯淺電池股份有限公司宜蘭廠,工廠,宜蘭縣冬山鄉三奇村龍祥八路二號,宜蘭縣冬山鄉東興段七四三地號;宜蘭縣冬山鄉東興段七四四地號;宜蘭縣冬山鄉東興段七四五地號;宜蘭縣冬山鄉東興段七四六地號;宜蘭縣冬山鄉東興段七四七地號;宜蘭縣冬山鄉東興段七四八地號;宜蘭縣冬山鄉東興段七四九地號;宜蘭縣冬山鄉東興段七五○地號;宜蘭縣冬山鄉東興段七五一地號;宜蘭縣冬山鄉東興段七五二地號;宜蘭縣冬山鄉東興段七五三地號;宜蘭縣冬山鄉東興段七五四地號;宜蘭縣冬山鄉東興段七五五地號;宜蘭縣冬山鄉東興段七五六地號;宜蘭縣冬山鄉東興段七五七地號;宜蘭縣冬山鄉東興段七五八地號;宜蘭縣冬山鄉東興段七五九地號;宜蘭縣冬山鄉東興段七六○地號;宜蘭縣冬山鄉東興段七六一地號;宜蘭縣冬山鄉東興段七六二地號;宜蘭縣冬山鄉東興段七六三地號;宜蘭縣冬山鄉東興段七六四地號;宜蘭縣冬山鄉東興段七六五地號,"52,823平方公尺",公告為控制場址,-無資料-,鉛:5.15(mg/L),121.81739274542,24.634299855523
