場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(N00001)彰化縣西門加油站漏油案,加油站,彰化市平和里中央路292號,彰化縣彰化市西門段460-2、460-5、460-15、460-16、460-17、460-30地號,"2,600平方公尺",公告解除控制場址,-無資料-,苯:0.0435(mg/L),120.52635751396,24.06842299308
(N00002)彰化縣彰化市莿桐段0881-0001地號,農地,,彰化縣彰化市莿桐段0881-0001地號,"1,200平方公尺",公告解除控制場址,鎘:14.3(mg/Kg),-無資料-,120.51427066972,24.060881764463
(N00003)彰化縣彰化市莿桐段0881-0002地號,農地,,彰化縣彰化市莿桐段0881-0002地號,"1,200平方公尺",公告解除控制場址,鎘:14.3(mg/Kg),-無資料-,120.51422187813,24.060782287425
(N00004)彰化縣和美鎮嘉詔段0497地號,農地,,彰化縣和美鎮嘉詔段0497地號,979平方公尺,公告解除控制場址,鋅:868(mg/Kg);鎳:258(mg/Kg);鎘:5.74(mg/Kg),-無資料-,120.52905037776,24.093090264191
(N00005)彰化縣和美鎮嘉慶段0841地號,農地,,彰化縣和美鎮嘉慶段0841地號,"5,635平方公尺",公告解除控制場址,鎳:286(mg/Kg);銅:242(mg/Kg),-無資料-,120.51376510111,24.082830326819
(N00006)彰化縣鹿港鎮鹿昇段0514-0001地號,農地,,彰化縣鹿港鎮鹿昇段0514-0001地號,"1,286平方公尺",公告解除控制場址,銅:370(mg/Kg);鉻:310(mg/Kg),-無資料-,120.47398816061,24.083989868529
(N00007)彰化縣鹿港鎮鹿昇段0514-0002地號,農地,,彰化縣鹿港鎮鹿昇段0514-0002地號,"1,286平方公尺",公告解除控制場址,銅:320(mg/Kg);鉻:310(mg/Kg),-無資料-,120.47396893318,24.083881451708
(N00008)彰化縣鹿港鎮鹿昇段0716地號,農地,,彰化縣鹿港鎮鹿昇段0716地號,"1,486平方公尺",公告解除控制場址,銅:290(mg/Kg),-無資料-,120.4700189798,24.087768436139
(N00009)彰化縣彰化市西門口段0229-0002地號,農地,,彰化縣彰化市西門口段0229-0002地號,"1,940平方公尺",公告解除控制場址,鋅:2079(mg/Kg);鉻:636(mg/Kg);鎳:324(mg/Kg),-無資料-,120.51197453326,24.080395752008
(N00010)彰化縣鹿港鎮鹿昇段0783地號,農地,,彰化縣鹿港鎮鹿昇段0783地號,437平方公尺,公告解除控制場址,銅:260(mg/Kg),-無資料-,120.46856122855,24.088287071111
(N00011)彰化縣鹿港鎮鹿昇段0852地號,農地,,彰化縣鹿港鎮鹿昇段0852地號,"1,166平方公尺",公告解除控制場址,銅:370(mg/Kg),-無資料-,120.46715644949,24.087884896973
(N00012)彰化縣鹿港鎮鹿昇段0856地號,農地,,彰化縣鹿港鎮鹿昇段0856地號,"1,609平方公尺",公告解除控制場址,銅:1500(mg/Kg);鎘:120(mg/Kg);鋅:2900(mg/Kg);鎳:550(mg/Kg),-無資料-,120.46738999139,24.088490667838
