場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(X00002)統一精工股份有限公司澎湖加油站,加油站,澎湖縣馬公市西文里西文澳92-47號,澎湖縣馬公市中衛段977地號,929平方公尺,公告解除控制場址,總石油碳氫化合物,苯,121.58546059798,23.5670266922
(X00007)台灣電力股份有限公司尖山發電廠,工廠,澎湖縣湖西鄉尖山村29-2號,澎湖縣湖西鄉尖山南段1072地號,"118,028平方公尺",公告解除控制場址,總石油碳氫化合物,-無資料-,121.66036801814,23.564658744939
(X00060)台灣中油股份有限公司油品行銷事業部澎湖營業處馬公行銷服務中心湖西供油,儲槽,澎湖縣湖西鄉湖西村湖西一○二之二號,澎湖縣湖西鄉湖西南段二七四一地號;澎湖縣湖西鄉湖西南段一二○六地號;澎湖縣湖西鄉湖西南段一二二一地號,"68,079平方公尺",公告為整治場址,-無資料-,苯:0.537(mg/L);萘:0.515(mg/L);甲基第三丁基醚:120(mg/L);總石油碳氫化合物:33.2(mg/L),121.65564196088,23.575586596156
(X00061)台灣中油股份有限公司澎湖營業處外垵漁船加油站,加油站,澎湖縣西嶼鄉外垵村小門八九之二號,澎湖縣西嶼鄉內垵二段一○三六地號,"1,004平方公尺",公告解除控制場址,總石油碳氫化合物:12600(mg/Kg),-無資料-,121.48318802148,23.56380238654
(X00063)台灣中油股份有限公司油品行銷事業部澎湖營業處馬公汽車加油站,加油站,澎湖縣馬公市民福路一八號,澎湖縣馬公市馬公段五九一地號;澎湖縣馬公市馬公段五八八之一四地號;澎湖縣馬公市馬公段五八八之二七地號,"1,718平方公尺",公告為整治場址,總石油碳氫化合物:15500(mg/Kg),苯:1.08(mg/L);甲基第三丁基醚:31.5(mg/L);總石油碳氫化合物:21.7(mg/L),121.56857383525,23.565102819471
